City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Amuntai,ID,-2.4177,115.2494,85.89,73,97,2.73,overcast clouds
80,Soyaux,FR,45.65,0.2,54.19,92,90,12.66,moderate rain
81,Abha,SA,18.2164,42.5053,44.42,31,0,0.0,clear sky
82,Maceio,BR,-9.6658,-35.7353,80.04,89,40,2.3,scattered clouds
83,Lavrentiya,RU,65.5833,-171.0,24.98,95,100,7.34,light snow
84,Namibe,AO,-15.1961,12.1522,70.66,72,81,3.2,broken clouds
85,Faya,SA,18.3851,42.4509,44.71,21,0,2.46,clear sky
86,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,20,3.44,few clouds
87,Kenai,US,60.5544,-151.2583,3.15,84,1,4.61,light snow
88,Laguna,US,38.421,-121.4238,57.02,95,90,4.61,fog
89,Avarua,CK,-21.2078,-159.775,75.25,94,75,4.61,heavy intensity rain
90,Haverfordwest,GB,51.8017,-4.9691,46.17,73,96,8.99,overcast clouds
91,Chuy,UY,-33.6971,-53.4616,59.23,88,39,5.28,scattered clouds
92,Port Alfred,ZA,-33.5906,26.891,67.3,76,100,7.76,overcast clouds
93,Kavaratti,IN,10.5669,72.642,81.37,73,95,1.54,overcast clouds
94,Banda Aceh,ID,5.5577,95.3222,83.79,67,98,9.89,overcast clouds
95,Zhaotong,CN,27.3167,103.7167,44.13,91,100,2.01,overcast clouds
96,Taltal,CL,-25.4,-70.4833,62.67,76,13,1.57,few clouds
97,Partyzany,UA,46.3314,34.7503,45.12,84,100,10.56,overcast clouds
98,Ipixuna,BR,-1.7625,-48.8043,76.95,93,100,2.66,light rain
99,Arraial Do Cabo,BR,-22.9661,-42.0278,70.5,79,2,2.37,clear sky
100,Constitucion,CL,-35.3333,-72.4167,53.15,65,8,6.71,clear sky
101,Pocatello,US,42.8713,-112.4455,46.67,62,1,10.0,clear sky
102,Vikarabad,IN,17.3333,77.9,77.49,42,77,7.94,broken clouds
103,Georgetown,MY,5.4112,100.3354,85.93,70,20,13.0,few clouds
104,Malakal,SS,9.5334,31.6605,81.0,35,24,7.34,few clouds
105,Kailua,US,21.4022,-157.7394,70.14,71,78,19.48,broken clouds
106,Los Llanos De Aridane,ES,28.6585,-17.9182,62.13,66,75,13.0,broken clouds
107,Karasburg,NA,-28.0167,18.75,58.33,62,69,19.75,broken clouds
108,Kentau,KZ,43.5206,68.5094,52.43,59,100,8.21,overcast clouds
109,Saint Anthony,US,45.0205,-93.218,33.93,71,1,3.0,clear sky
110,Warner Robins,US,32.621,-83.5999,58.53,92,1,0.0,clear sky
111,Te Anau,NZ,-45.4167,167.7167,59.52,98,100,2.62,overcast clouds
112,Bandarbeyla,SO,9.4942,50.8122,78.21,65,0,17.11,clear sky
113,Hasaki,JP,35.7333,140.8333,61.09,44,0,3.74,clear sky
114,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,1,6.91,clear sky
115,Maragogi,BR,-9.0122,-35.2225,77.32,85,29,8.37,scattered clouds
116,Dunmore,US,41.4198,-75.6324,31.51,82,90,0.0,overcast clouds
117,Itambacuri,BR,-18.0311,-41.685,66.6,98,78,1.39,broken clouds
118,Cabrera,DO,19.6426,-69.9049,73.33,78,90,10.83,overcast clouds
119,Gezing,AT,47.9178,13.1299,33.12,74,75,11.5,broken clouds
120,Qasigiannguit,GL,68.8193,-51.1922,12.45,62,90,12.06,overcast clouds
121,Murgab,TM,37.4966,61.9714,39.07,87,75,6.91,light intensity shower rain
122,Namtsy,RU,62.7161,129.6658,-38.09,96,97,10.07,overcast clouds
123,Lebu,CL,-37.6167,-73.65,51.17,92,3,16.6,clear sky
124,Gamba,GA,-2.65,10.0,75.16,91,100,3.04,overcast clouds
125,Biak,ID,-0.9131,122.8766,83.95,69,100,1.5,overcast clouds
126,New Norfolk,AU,-42.7826,147.0587,60.66,34,92,4.0,overcast clouds
127,Matara,LK,5.9485,80.5353,85.26,65,68,2.35,heavy intensity rain
128,Aripuana,BR,-9.1667,-60.6333,71.51,99,100,2.06,overcast clouds
129,Rexburg,US,43.826,-111.7897,34.86,86,1,0.0,mist
130,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,100,40,5.66,scattered clouds
131,Hermanus,ZA,-34.4187,19.2345,63.9,74,85,15.64,overcast clouds
132,Caravelas,BR,-17.7125,-39.2481,70.7,95,73,3.67,broken clouds
133,Mianyang,CN,31.4593,104.7542,58.26,47,99,3.78,overcast clouds
134,Trat,TH,12.5,102.5,82.9,56,81,13.13,broken clouds
135,Ahipara,NZ,-35.1667,173.1667,68.58,77,100,7.85,overcast clouds
136,Kharan,PK,28.5833,65.4167,65.5,28,12,2.26,few clouds
137,Monywa,MM,22.1167,95.1333,79.75,54,48,3.76,scattered clouds
138,Cavalcante,BR,-13.7975,-47.4583,67.46,95,99,1.45,light rain
139,Pacific Grove,US,36.6177,-121.9166,55.08,84,39,3.0,scattered clouds
140,Yanam,IN,16.7333,82.2167,86.4,56,100,2.62,overcast clouds
141,Kaitangata,NZ,-46.2817,169.8464,60.66,94,100,5.19,overcast clouds
142,Hamilton,US,39.1834,-84.5333,47.05,73,1,0.0,clear sky
143,Bredasdorp,ZA,-34.5322,20.0403,61.29,70,100,14.52,overcast clouds
144,Siniscola,IT,40.5719,9.6922,45.95,80,14,7.25,few clouds
145,Buala,SB,-8.145,159.5921,82.53,78,99,3.18,moderate rain
146,San Cristobal,VE,7.7669,-72.225,71.78,86,95,1.48,overcast clouds
147,Saint-Honore,CA,48.5334,-71.0824,12.29,86,100,12.66,light snow
148,Cherskiy,RU,68.75,161.3,-11.51,96,100,16.42,light snow
149,Hobart,AU,-42.8794,147.3294,61.02,48,40,4.0,scattered clouds
150,Hohhot,CN,40.8106,111.6522,32.29,37,0,2.24,clear sky
151,Eureka,US,40.8021,-124.1637,51.21,97,28,5.23,scattered clouds
152,Victoria,HK,22.2855,114.1577,71.96,37,52,4.0,broken clouds
153,Kosh-Agach,RU,50.0,88.6667,18.73,89,96,0.47,overcast clouds
154,Carnarvon,AU,-24.8667,113.6333,80.67,61,0,11.5,clear sky
155,Northview,US,43.0456,-85.6006,40.44,86,90,1.01,overcast clouds
156,Anqiu,CN,36.4342,119.1925,51.78,33,0,1.66,clear sky
157,Panama City,PA,8.9936,-79.5197,82.06,85,20,2.3,few clouds
158,Padang,ID,-0.9492,100.3543,91.45,64,100,9.04,overcast clouds
159,Faanui,PF,-16.4833,-151.75,81.54,69,23,18.5,few clouds
160,Siemiatycze,PL,52.4272,22.8623,28.26,58,94,12.68,overcast clouds
161,Kastamonu,TR,41.5,33.6667,36.01,83,84,0.94,broken clouds
162,Gornopravdinsk,RU,60.05,69.9,14.58,92,51,7.83,broken clouds
163,Payo,ID,-3.7508,103.6372,81.75,80,100,4.47,overcast clouds
164,Coihaique,CL,-45.5752,-72.0662,50.61,71,0,2.3,clear sky
165,Beni Suef,EG,29.0731,31.0979,58.08,51,86,4.27,overcast clouds
166,Akyab,MM,20.15,92.9,79.38,63,94,4.16,overcast clouds
167,Hluti,SZ,-27.2167,31.6167,67.55,91,100,2.35,overcast clouds
168,Puerto Ayora,EC,-0.7393,-90.3518,67.37,93,47,5.59,scattered clouds
169,Ribeira Grande,PT,38.5167,-28.7,65.03,82,100,10.58,overcast clouds
170,Kavieng,PG,-2.5744,150.7967,84.65,70,77,7.34,broken clouds
171,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.93,99,99,1.72,overcast clouds
172,Luba,GQ,3.4568,8.5547,80.73,82,100,4.32,overcast clouds
173,Lubango,AO,-14.9172,13.4925,62.35,88,100,1.83,light rain
174,Sheregesh,RU,52.9209,87.9869,27.09,94,100,5.84,light snow
175,Port-Gentil,GA,-0.7193,8.7815,79.25,80,97,2.95,overcast clouds
176,Hokitika,NZ,-42.7167,170.9667,59.79,97,100,8.3,overcast clouds
177,Upernavik,GL,72.7868,-56.1549,8.58,65,81,8.55,broken clouds
178,Ketchikan,US,55.3422,-131.6461,30.67,93,75,4.61,broken clouds
179,Vestmannaeyjar,IS,63.4427,-20.2734,33.39,77,60,12.48,broken clouds
180,Oro Valley,US,32.3909,-110.9665,64.62,42,1,4.0,clear sky
181,Changji,CN,44.0167,87.3167,27.39,63,100,0.0,smoke
182,Banjar,ID,-8.19,114.9675,87.66,79,100,2.71,overcast clouds
183,Asyut,EG,27.181,31.1837,51.98,53,34,0.92,scattered clouds
184,Adrar,MR,20.5022,-10.0711,62.64,22,100,10.33,overcast clouds
185,Megion,RU,61.0296,76.1136,21.22,93,100,11.72,overcast clouds
186,Yatou,CN,37.15,122.3833,48.02,46,1,10.07,clear sky
187,Alta Floresta,BR,-9.8756,-56.0861,70.54,99,100,3.24,light rain
188,Kerman,IR,30.2832,57.0788,35.46,80,20,4.61,few clouds
189,Darnah,LY,32.767,22.6367,61.88,41,100,8.37,overcast clouds
190,Takaka,NZ,-40.85,172.8,66.38,97,100,7.58,light rain
191,Sitka,US,57.0531,-135.33,26.49,80,20,3.44,few clouds
192,Mount Pleasant,US,32.7941,-79.8626,59.0,98,1,0.0,clear sky
193,Codrington,AU,-38.2667,141.9667,61.75,61,60,14.32,broken clouds
194,Port Hedland,AU,-20.3167,118.5667,105.85,27,8,17.27,clear sky
195,Araouane,ML,18.9048,-3.5265,64.56,22,24,11.54,few clouds
196,Sola,VU,-13.8833,167.55,82.13,72,55,11.77,broken clouds
197,Castro,BR,-24.7911,-50.0119,58.39,88,88,9.71,overcast clouds
198,Grindavik,IS,63.8424,-22.4338,28.87,100,0,8.05,clear sky
199,Idah,NG,7.1065,6.7342,73.67,87,90,2.1,overcast clouds
200,Lompoc,US,34.6391,-120.4579,55.08,82,90,0.0,overcast clouds
201,Varkaus,FI,62.3153,27.873,8.71,75,72,9.6,broken clouds
202,Preston,GB,53.7667,-2.7167,44.15,86,100,1.01,overcast clouds
